lang_train,af,aii,ajp,akk,apu,aqz,ar,be,bg,bho,bm,br,bxr,ca,ckt,cs,cu,cy,da,de,el,en,es,et,eu,fa,fi,fo,fr,fro,ga,gd,gl,got,grc,gsw,gub,gun,gv,he,hi,hr,hsb,hu,hy,hyw,id,is,it,ja,kfm,kk,kmr,ko,koi,kpv,krl,la,lt,lv,lzh,mdf,mpu,mr,mt,myu,myv,nds,nl,no,nyq,olo,orv,otk,pcm,pl,pt,quc,ro,ru,sa,sk,sl,sme,sms,sq,sr,sv,ta,te,th,tl,tpn,tr,ug,uk,ur,urb,vi,wbp,wo,xnr,yo,yue,zh
el,58.55112789,14.56953642,69.20152091,24.41199078,41.33986928,26.73521851,76.59805495,89.05820635,89.58280336,44.99624906,28.17767489,63.52270929,56.00079745,80.38788934,34.76410074,85.01788251,51.56016349,68.86356391,85.91240148,82.56387672,97.96665311,83.63837463,82.16525521,83.55560597,72.39271355,74.36486119,83.36627002,72.93669119,78.6988104,52.48876599,61.25597056,54.76044226,82.05841446,20.16081585,64.20505938,43.55955679,25.82781457,32.39757208,33.81332408,88.54166667,59.98076242,84.94229184,69.52309985,80.19716692,84.03160163,76.9124308,75.44483986,80.71356995,81.97932744,30.0447475,45.94594595,80.47841307,74.33797127,59.9360729,44.2193087,36.47805178,71.04072398,77.25494949,85.30152864,84.8894226,30.08532893,43.84148518,18.49315068,85.27607362,22.26135645,29.38689218,43.86994255,49.7752809,82.17249294,82.10839933,43.58974359,65.18817204,75.02802127,37.1040724,42.69882205,84.00455363,82.40225929,36.19993268,83.69409745,88.42722686,40.4069196,82.81640216,77.18744812,33.52647353,31.53526971,87.74403471,85.17642938,87.422297,83.0495356,85.29819695,58.62377923,66.66666667,29.20863309,75.32357473,75.68317239,88.58765663,52.97852222,11.25,62.76871602,38.86639676,27.97580471,43.1185362,28.86264586,48.27561431,42.13268552
en,61.16466263,14.56953642,66.28643853,26.4104535,28.59477124,18.25192802,80.73836276,89.05196103,90.84202493,50.68267067,27.67850684,64.06076911,58.80183413,89.68369124,32.60021284,88.11768164,53.72345728,70.62480077,91.5693904,88.61395392,87.55591704,96.0458747,90.2792401,88.42993956,75.98670715,76.72718485,87.15889501,76.99618751,87.44078324,53.42205323,66.95247044,58.96805897,87.10013908,20.51382624,66.82811543,47.64542936,17.21854305,24.12746586,25.39902845,90.625,74.14401188,87.92250618,75.59612519,85.97817764,88.4845583,80.08303976,86.9099577,84.78303931,87.77419204,34.05604091,43.24324324,82.47374562,76.89631957,64.04895191,47.43742551,39.864934,69.74789916,79.63466899,87.30052075,87.53794323,29.38801725,44.05569439,5.479452055,82.20858896,21.06926759,12.26215645,47.57975798,57.41573034,90.39106638,89.55371339,44.87179487,63.17204301,76.54835465,37.1040724,47.52213006,87.23334048,90.02735857,25.44597779,85.67559836,90.96012351,25.59465304,88.5200999,78.95566993,32.02797203,29.87551867,82.32104121,88.40731985,93.95200567,83.43653251,84.74341193,59.51079652,73.46368715,23.09352518,79.12044171,75.83727142,87.58051294,67.04714305,9.166666667,66.35717273,29.14979757,26.11795204,43.0389817,18.45915929,53.96608708,47.48038166
es,61.78078108,15.89403974,65.90621039,20.67640277,25,24.16452442,79.35039184,87.23457407,90.29509031,47.45686422,25.86269261,64.0765944,57.55582137,95.65196363,33.16779,89.50075939,52.77639318,66.53649984,90.79118029,83.86048643,86.94591297,88.26007953,95.47951476,88.3310917,74.85845573,78.2104341,85.53728854,76.0725984,90.96536478,59.6266851,68.54200924,55.8046683,89.67315716,16.04236125,60.56370904,36.91135734,20.97130243,25.64491654,28.74739764,92.70833333,69.02411448,88.94064303,69.76527571,86.79173047,84.72587982,77.49119275,86.2955751,83.46810841,90.67396286,23.79430357,36.48648649,80.89848308,77.58078995,61.91216204,44.81525626,33.80742863,68.64899806,78.85464982,84.67159415,85.55655626,29.67703459,37.48661192,8.219178082,85.27607362,18.64896595,11.62790698,41.43136536,43.59550562,88.61228814,84.72653175,34.61538462,58.46774194,74.03937347,37.1040724,38.21007876,87.63095808,92.9044215,28.23964995,84.59807381,89.91363216,24.00235895,90.21187465,79.57828325,29.4005994,27.66251729,79.28416486,90.56124683,89.84857877,81.81114551,84.04993065,52.27130185,74.39478585,23.45323741,77.22008218,73.87507705,87.2935941,65.01418344,15,65.72145546,26.31578947,25.14581983,43.1185362,21.62238155,48.22531973,37.8382266
et,62.43664911,20.08830022,68.82129278,37.92467333,47.87581699,37.53213368,76.33840053,87.07219585,85.80513864,52.37809452,27.90277074,60.08862162,64.64314195,73.37009093,38.87903512,87.36710597,51.83929818,61.5317182,86.95001497,80.36138131,77.42984953,82.32428304,75.43144884,96.79797767,77.06162304,73.92381355,90.50582349,76.40015035,75.6269081,50.01152206,60.51601284,51.47420147,74.40890125,24.73033928,65.91194235,40.72022161,30.68432671,30.57663126,35.28799445,89.58333333,71.63637591,87.00741962,77.30067064,83.19295559,87.74239885,80.62405637,84.14020009,82.94784554,78.02722043,38.92321898,40.54054054,82.95215869,76.6943447,62.93994031,53.15852205,46.58753709,75.66257272,78.51862461,85.96505963,87.93822342,35.37480503,48.30417708,15.75342466,88.34355828,30.92206267,27.06131078,53.10475492,52.24719101,80.86158192,83.17973417,42.30769231,71.16935484,74.64865642,46.60633484,41.82755977,84.37907311,79.64875121,37.83237967,78.51625822,88.19402725,38.77530961,86.95722227,77.28706625,46.67332667,40.66390041,73.96963124,86.93634533,89.06402196,85.41021672,84.18862691,62.57503808,65.92178771,46.47482014,79.27709296,77.05979043,86.92469844,67.03363501,21.25,63.73065663,42.10526316,35.29920069,51.67064439,26.69759595,58.26268142,52.09768416
eu,62.47639869,15.89403974,61.34347275,40.9377402,39.37908497,41.1311054,63.48314607,74.57531851,68.81200712,53.35333833,29.7692252,52.91976579,66.61682616,57.9851035,41.22029088,74.0331194,46.66533745,53.54638189,66.52698793,66.31708048,65.33143554,65.77041582,62.00503548,79.37482783,95.74136375,63.94888681,79.20643597,62.51409547,61.17486051,44.9648577,53.71153394,48.83292383,68.70653686,30.77073936,59.21570916,41.27423823,32.00883002,35.43247344,33.29285219,80.20833333,68.71192561,74.58779885,65.91840537,69.6305513,80.8474982,77.40312028,71.45303163,65.18666542,65.52078949,39.19490021,39.18918919,84.03733956,66.15798923,65.417557,51.96662694,47.20147345,71.10536522,68.05667258,80.93398287,79.78251443,27.87870447,46.05498036,23.97260274,78.52760736,35.46464373,26.42706131,49.44383327,48.31460674,63.45338983,61.81787308,41.02564103,65.79301075,65.13866935,37.1040724,37.40851746,73.82653314,69.54372959,35.29114776,68.8814723,74.85061659,40.80007863,75.85595746,67.27129338,41.88811189,45.50484094,66.9197397,74.52061991,66.62888515,86.53250774,82.38557559,53.0821611,56.61080074,44.82014388,75.70621469,75.34415451,74.55791076,64.44009185,27.91666667,63.75575073,43.31983806,37.61071506,54.33571997,28.44088289,49.03003305,46.94657099
fa,64.27506708,20.08830022,69.70849176,40.84550346,41.83006536,37.53213368,81.69672363,78.88458656,83.45204782,61.14028507,34.44259567,57.38249723,62.41028708,74.99516347,33.59347286,80.30032825,51.23118333,72.05929232,81.14337025,75.4297068,66.69377796,77.06659995,76.72922866,83.51509455,72.24091245,91.42977978,79.81191047,73.38774634,73.70038951,52.96693167,66.52180722,54.66830467,74.86091794,22.61227692,62.85414174,50.20775623,32.45033113,31.03186646,33.32755031,89.58333333,79.18965895,81.53338829,68.87108793,70.96094946,79.48288245,76.42174132,76.06257974,82.31630584,75.9552874,31.76006819,44.59459459,78.49474912,78.9048474,62.59734756,46.72228844,41.59418807,65.0937298,73.47163617,78.54023182,79.95596918,30.2091935,45.44805427,15.06849315,84.04907975,30.51566874,24.94714588,47.82422687,51.12359551,75.71062853,79.60295775,48.71794872,63.91129032,71.63385544,37.1040724,39.61106852,82.69291053,77.84838055,37.86603837,79.18565843,81.45966163,35.05012778,77.23354548,73.95400963,39.38061938,38.26648225,73.64425163,82.47088696,80.50650846,82.00464396,82.10818308,53.58390825,78.95716946,39.20863309,76.89522342,76.97760427,79.97423586,74.38200729,19.58333333,57.00543706,35.22267206,35.70965651,52.2673031,30.78869675,45.40163817,41.20890537
fi,66.39173209,14.56953642,66.15969582,34.20445811,51.79738562,35.47557841,70.66849212,83.43742193,80.36123124,52.97824456,28.7708891,57.99968349,64.62320574,63.66802089,38.59524654,81.26843369,46.60552288,57.28402933,79.14795969,69.87097914,72.06181375,73.88539225,65.60540169,89.9758552,77.44727989,67.55581065,93.76585516,69.41416528,68.98410359,50.11522065,57.68929606,49.81572482,68.28929068,24.83820357,64.44723252,41.82825485,27.15231788,36.49468892,32.80707842,83.33333333,70.17330701,81.66117065,70.92958271,76.09111792,88.62820206,80.2591847,77.45249446,75.55813195,73.17244282,44.12955466,45.94594595,84.14235706,70.56777379,64.3968425,53.99284863,47.27309936,79.37944409,73.64240308,87.10734084,87.48123687,29.64033398,48.66119243,19.17808219,87.11656442,29.44098257,29.17547569,51.76628774,50.8988764,69.84904661,75.06908103,43.58974359,73.11827957,68.44948987,37.1040724,36.92758068,79.45257462,72.14720678,38.95994615,71.81653476,82.92281157,40.02358954,81.17296383,74.91698489,46.25374625,39.41908714,68.87201735,81.7091323,79.83883822,87.69349845,86.26907074,58.30122749,62.75605214,41.00719424,77.5,78.62132731,82.45110669,66.05430231,13.75,61.66457549,49.79757085,36.91942104,52.18774861,30.61999156,54.64147148,55.93824418
fo,66.51098082,21.63355408,69.32826362,32.89777095,47.05882353,24.93573265,73.86932301,82.06969773,85.20732638,54.91372843,30.47095421,64.40892546,60.84529506,81.40839621,41.04292302,81.01415903,56.50483501,66.77558177,87.52868403,83.2014277,77.42984953,86.3916467,83.40581369,83.91048597,75.35078362,75.2197686,81.8918275,91.4138431,80.57269186,63.45777163,63.13914337,59.36732187,79.10292072,34.2125907,64.42389053,51.93905817,34.21633554,32.70106222,40.111034,80.20833333,70.72343442,82.16817807,72.93219076,73.55474732,81.23054824,80.02013085,79.769019,86.45102654,83.21406857,37.4831309,44.59459459,78.29638273,72.84560144,61.48833595,54.23122765,46.16801392,70.16806723,75.41507376,83.24374265,83.15487508,29.05312414,48.51838629,20.54794521,80.98159509,32.94500135,20.93023256,50.77618873,58.87640449,83.1920904,83.91454021,47.43589744,65.59139785,75.39589021,38.00904977,44.03011082,82.0577123,84.3438355,37.47896331,80.27462573,83.63210015,35.11893061,81.29380488,74.85887432,46.48351648,42.64638082,72.45119306,82.28701515,87.26290623,75.23219814,82.80166436,60.68004659,76.0707635,40.9352518,74.01001541,72.78611054,82.00023422,69.23544509,28.75,63.04475115,41.29554656,36.66018579,50.03977725,33.74103754,50.67538439,44.93918714
fr,71.02255789,14.79028698,69.32826362,24.50422752,26.14379085,35.218509,83.13190445,89.52035973,90.91198168,48.94223556,24.74860739,67.71641082,53.62838915,92.45985684,30.89748138,89.7496448,43.27584488,69.2301562,90.20253417,85.51427833,88.04392029,87.58591631,93.41268025,87.4900747,75.93747436,78.62429387,86.51978304,75.65376148,97.1344352,68.19334025,69.35243912,60.01228501,91.55076495,11.55128457,60.16105973,39.54293629,20.30905077,26.10015175,27.61970854,94.79166667,73.69682242,89.5012366,65.11736215,86.30359877,87.23964568,76.83694011,84.84187202,83.17913822,91.7122679,32.28744939,35.13513514,82.94049008,78.88240575,64.2626309,35.04171633,29.4894096,67.25921138,79.55314156,86.92256005,87.72807632,28.42921369,38.95037487,13.01369863,83.43558282,17.39366025,19.87315011,41.24190197,32.35955056,89.00070621,84.32053598,48.71794872,53.15860215,71.50165254,38.00904977,36.94849097,88.05332365,92.25134587,32.48064625,87.06970535,91.37613612,17.9280519,91.0899863,80.57446455,26.95304695,26.87874597,78.30802603,90.84143245,89.63959975,83.51393189,83.63384189,56.2539199,72.81191806,22.8057554,77.88392399,75.20032874,88.85115353,67.47264622,15,67.03471351,26.31578947,24.58414344,42.99920446,19.40109658,51.62379652,44.09052406
fro,71.27099275,8.167770419,48.28897338,38.32436587,24.50980392,24.16452442,66.20243603,67.79915064,72.49427627,41.18529632,13.43413152,47.34926412,43.18181818,76.92977365,20.148989,68.79721719,57.26248629,56.27988524,74.19934151,70.73666584,72.85481903,73.42980539,78.01327535,66.14055841,59.62501026,65.42609431,66.33729975,62.47113784,79.3072955,93.27111418,46.65648735,42.75184275,71.62726008,38.10551088,56.33589123,34.62603878,15.01103753,16.76783005,16.11727967,62.5,58.31519263,72.01566364,52.3099851,62.46171516,64.66363419,61.55007549,66.920701,70.63340402,72.61119686,31.040912,32.43243243,58.49474912,59.90798923,50.26754022,30.27413588,26.63460555,49.35358759,65.34974165,64.13572988,65.16561593,41.85705111,27.27597287,19.17808219,51.53374233,28.11342906,15.6448203,25.36364748,40.33707865,73.05349576,69.59971596,41.02564103,40.18817204,67.4579681,2.714932127,40.44748031,67.2600683,73.10916953,19.7071693,69.08362735,68.75706543,37.7629251,70.65979215,64.17482982,23.04695305,20.00922084,66.48590022,74.10909728,76.84406269,62.03560372,58.39112344,52.18618403,53.25884544,23.45323741,57.15973292,55.01335525,66.66471484,54.1672295,25.83333333,46.66666667,15.78947368,26.830849,36.43595863,18.34668916,33.45308234,36.36784989
ga,71.87717381,16.33554084,69.96197719,46.22598002,51.79738562,43.18766067,83.69842319,79.14064452,78.67590944,59.2048012,29.06026188,61.71862636,60.30701754,79.70593925,39.30471799,78.14168831,43.85405244,77.8928913,77.89085104,76.17966136,77.51118341,75.33115635,82.39642939,75.65912074,68.14638549,79.72691297,73.84686541,70.57402137,76.43330877,49.08399585,86.04651163,77.05773956,80.91098748,29.05471661,58.474601,44.32132964,46.35761589,33.9908953,57.21721027,80.20833333,69.71936752,77.27122836,69.29955291,77.143951,71.75005985,68.24358329,78.5973276,71.17697094,73.5559609,36.09098658,50,75.55425904,74.86535009,60.51000406,51.13230036,44.91967666,64.05946994,70.02214461,76.38165631,77.74775676,32.14056335,49.87504463,19.8630137,79.14110429,36.66576357,38.90063425,52.49358269,48.98876404,79.50211864,74.51334537,46.15384615,60.61827957,67.31426929,39.36651584,32.04851188,82.50812559,80.59306328,46.36486032,76.79031181,80.73163957,35.67918223,79.95649722,65.33704134,45.004995,40.11065007,79.82646421,78.45197443,78.66111751,78.09597523,76.83772538,58.65513843,71.13594041,51.79856115,73.72752953,70.22806657,79.85127064,65.50047278,21.25,58.57800084,40.48582996,40.80794988,46.26093874,33.13651061,48.95818365,49.58845435
