train/target,eng,nld,ita,fra,rus,dan,tur,fin,ind,ukr,pol,por,lat,kor,est,lav,glg,vie,cat,ces,eus,jpn,hun,hin,tel
pol,66.44062886787981,63.378354519774014,64.52925494598007,61.92230761132751,81.1327945840843,72.45335727826,68.31792501284026,71.05915990413321,65.02047941986167,83.76859116992622,84.91032980812065,68.86417791898332,68.0588760232243,54.70888445441221,73.46178153003517,77.64768671403316,70.06258692628651,67.21873693015475,63.658347842909656,82.22576061927393,63.97390662181013,32.5147382626607,64.75880551301685,64.24846858705007,73.9251040221914
por,86.78929765886288,87.07627118644068,88.77508067910762,90.36530161069584,89.35227353475061,88.45654993514916,75.929635336415,83.91848519250445,84.82172832874505,86.09321934652769,87.10960056755374,91.56296884652724,79.28762656031377,60.1727091316863,86.30390043914376,85.34307348477267,89.25591098748261,64.35800920117106,92.34861675372412,88.43760717260301,75.83900877984739,17.96114780879324,85.6718989280245,67.83104676082958,81.41470180305132
lat,80.79556527006031,79.37411723163842,78.48557130162294,79.8926202758185,86.83681840791199,81.87169510126708,74.36312275295326,81.48537470742407,74.4712280937353,85.85314439629933,84.15964098925937,82.17280028241109,84.77089691187327,59.21910042912392,81.78444685712434,84.55252009740151,82.89290681502086,68.84148891677123,76.89591797252854,83.8288177943266,74.98564043653073,36.803039988635554,76.34954058192956,63.073963448590085,84.1886269070735
kor,61.26853290495878,52.13629943502824,57.611898414480144,52.11495946941783,65.1447323372286,61.67814027736207,65.0346687211094,68.28547001359514,58.33613106828711,64.73240426279425,60.48242068271436,60.82428735327861,60.69827139819538,70.80368022321507,69.20484192445431,69.70212482070784,60.778859527121,62.46758678377248,49.56954923582898,60.96565577384744,60.61376877000082,52.438028269053206,55.666156202143945,61.24301793820348,80.02773925104022
est,79.55784373107207,76.12111581920904,75.43613488611383,71.8959890514791,86.6727389004089,84.99451262097176,78.15100154083206,89.05660906249562,82.60592224535016,85.95268766834523,84.08539704014123,75.91562968846527,78.44921612480307,62.13467074010632,94.71407042504578,86.73404716634978,71.52294853963839,61.0706817231284,71.31940414006579,86.05114889030425,74.08714203659638,40.553306342780026,80.0248851454824,69.72105502961575,85.99167822468793
lav,84.01627472151264,84.1454802259887,80.78200271268884,81.4338351405411,90.29799164098888,85.24393894043699,76.37262455059066,85.111213892276,80.72248707446451,88.26560487176485,86.66743660391678,83.43482481687407,80.65045666376547,65.5870874317905,84.41120707815463,94.49281163481103,81.95410292072323,65.94730238393977,80.37821628941768,86.03253147812454,77.02469844916715,23.801406349882804,75.16271056661562,64.2872812568555,85.99167822468793
cat,86.49171779948911,86.82909604519774,89.72452177166643,89.86840720075797,88.63329522037687,89.1449665768732,75.99640472521828,84.59684088074114,85.10374001208622,87.15306241948706,86.97431159360512,91.46589003618392,78.7984619960999,61.93335334734314,87.74286593962178,84.86273724940791,89.39499304589708,63.931409452112085,97.65428516153996,88.47974131595709,75.23180438171822,21.402443355351945,86.14088820826953,72.12406554278675,81.13730929264909
ces,83.11036789297658,86.08315677966102,83.18600626724663,85.15633224549953,90.51181178659328,84.21630250424025,76.36877247046738,82.620639392283,81.35701336198214,92.35273451223796,91.52134101070764,86.47074397670109,78.40624896713562,58.480936655658965,85.53742444620895,85.68331165148938,87.34353268428373,65.57925554161439,86.91236215902495,96.9158786928617,74.48920981373594,26.93905817174515,78.42649310872895,66.97210550296158,79.47295423023579
eus,67.61909778000158,63.03407485875706,65.8809223142042,61.46962838193494,74.9010032105321,67.50473910006984,75.34155110426298,78.43697879437693,71.27845296447995,74.40566811102003,73.45696325749451,68.49351337039978,67.87268500666542,64.66173380189663,78.43334251592098,79.45895460155442,66.72461752433935,63.12839815976579,57.45792222867093,72.99446376953604,91.53196028555016,39.38489949570282,68.66385911179172,60.125888050760224,80.85991678224687
hin,78.22005108893161,73.86564265536724,71.82077545484309,69.84103589851564,83.96155113272998,77.6414247231368,74.711093990755,80.38935374006644,77.12012354797557,81.18632158332358,80.71637161571333,75.85385226370136,71.64608282745932,57.79221925936391,80.68415679538494,80.96667667367157,73.01808066759388,61.32162275198662,72.47049719481524,77.9466954093381,78.63707229014524,33.906882591093115,74.41615620214395,91.8864645032822,83.07905686546462
