train/target,eng,nld,ita,fra,rus,swe,dan,tur,fin,ind,ukr,pol,por,lat,kor,est,lav,lit,vie,cat,ces,eus,jpn,hun,hin,tel,bel
ukr,84.14004687541149,83.92037429378531,84.99602450774051,85.26371196968103,92.37224084804558,86.37917293898876,85.26389304599421,76.48048279404212,82.40900363004387,78.3253877660646,95.9655697388453,91.45369652373331,86.02065131056395,78.0283583240605,60.49411058329066,84.2005477143459,88.02161513059141,87.63648580547623,65.2948557089084,84.68272393112788,91.61824506393612,76.15491917617133,42.3023652248029,84.36064318529863,66.45066572166253,84.74341192787794,91.5375968023982
pol,66.44062886787981,63.378354519774014,64.52925494598007,61.92230761132751,81.1327945840843,74.89595324537324,72.45335727826,68.31792501284026,71.05915990413321,65.02047941986167,83.76859116992622,84.91032980812065,68.86417791898332,68.0588760232243,54.70888445441221,73.46178153003517,77.64768671403316,79.4473374769024,67.21873693015475,63.658347842909656,82.22576061927393,63.97390662181013,32.5147382626607,64.75880551301685,64.24846858705007,73.9251040221914,81.00799400449662
por,86.78929765886288,87.07627118644068,88.77508067910762,90.36530161069584,89.35227353475061,87.347914637386,88.45654993514916,75.929635336415,83.91848519250445,84.82172832874505,86.09321934652769,87.10960056755374,91.56296884652724,79.28762656031377,60.1727091316863,86.30390043914376,85.34307348477267,84.940366201915,64.35800920117106,92.34861675372412,88.43760717260301,75.83900877984739,17.96114780879324,85.6718989280245,67.83104676082958,81.41470180305132,87.44691481388959
lat,80.79556527006031,79.37411723163842,78.48557130162294,79.8926202758185,86.83681840791199,84.12999203046134,81.87169510126708,74.36312275295326,81.48537470742407,74.4712280937353,85.85314439629933,84.15964098925937,82.17280028241109,84.77089691187327,59.21910042912392,81.78444685712434,84.55252009740151,85.51150680329246,68.84148891677123,76.89591797252854,83.8288177943266,74.98564043653073,36.803039988635554,76.34954058192956,63.073963448590085,84.1886269070735,85.20484636522609
kor,61.26853290495878,52.13629943502824,57.611898414480144,52.11495946941783,65.1447323372286,62.9717524129992,61.67814027736207,65.0346687211094,68.28547001359514,58.33613106828711,64.73240426279425,60.48242068271436,60.82428735327861,60.69827139819538,70.80368022321507,69.20484192445431,69.70212482070784,73.29077775911306,62.46758678377248,49.56954923582898,60.96565577384744,60.61376877000082,52.438028269053206,55.666156202143945,61.24301793820348,80.02773925104022,62.553085186110415
est,79.55784373107207,76.12111581920904,75.43613488611383,71.8959890514791,86.6727389004089,88.19976976888337,84.99451262097176,78.15100154083206,89.05660906249562,82.60592224535016,85.95268766834523,84.08539704014123,75.91562968846527,78.44921612480307,62.13467074010632,94.71407042504578,86.73404716634978,85.28473038803965,61.0706817231284,71.31940414006579,86.05114889030425,74.08714203659638,40.553306342780026,80.0248851454824,69.72105502961575,85.99167822468793,86.0854359230577
lav,84.01627472151264,84.1454802259887,80.78200271268884,81.4338351405411,90.29799164098888,85.72567076950324,85.24393894043699,76.37262455059066,85.111213892276,80.72248707446451,88.26560487176485,86.66743660391678,83.43482481687407,80.65045666376547,65.5870874317905,84.41120707815463,94.49281163481103,89.92104821098606,65.94730238393977,80.37821628941768,86.03253147812454,77.02469844916715,23.801406349882804,75.16271056661562,64.2872812568555,85.99167822468793,89.101923557332
lit,80.29652647934059,80.13771186440678,77.98980403161686,76.15959574692073,88.19467322984697,80.87664925174887,78.67903821211215,74.15254237288136,82.20437567450139,76.21701470489491,87.1764843658508,85.01757106795796,80.72544347365634,77.27147531591878,63.60746640295265,80.87699113610215,87.94155909136396,95.33848479758105,65.28649100794647,77.41342619462178,85.93454509823134,75.91696069582342,16.462461822572628,77.4406584992343,61.59739448860088,82.80166435506241,88.70222333250062
vie,59.10120348668792,61.52454096045198,60.05799541649127,56.25013159279925,67.15890518917593,60.21783405649518,60.17160530779208,61.440677966101696,60.11156428261083,62.32793930034244,66.4480618339384,65.42541782844698,65.89886153031507,57.87015104608503,51.581401098415945,57.112994441833706,65.90279862570466,67.72215689568284,92.35466332078629,56.5389823950474,62.65053157611092,59.17370969065397,15.427232047730662,57.24540581929556,52.41904183330802,63.80027739251041,66.61254059455408
cat,86.49171779948911,86.82909604519774,89.72452177166643,89.86840720075797,88.63329522037687,88.93296732489152,89.1449665768732,75.99640472521828,84.59684088074114,85.10374001208622,87.15306241948706,86.97431159360512,91.46589003618392,78.7984619960999,61.93335334734314,87.74286593962178,84.86273724940791,83.50411557198052,63.931409452112085,97.65428516153996,88.47974131595709,75.23180438171822,21.402443355351945,86.14088820826953,72.12406554278675,81.13730929264909,84.96752435673245
ces,83.11036789297658,86.08315677966102,83.18600626724663,85.15633224549953,90.51181178659328,86.16842291685116,84.21630250424025,76.36877247046738,82.620639392283,81.35701336198214,92.35273451223796,91.52134101070764,86.47074397670109,78.40624896713562,58.480936655658965,85.53742444620895,85.68331165148938,86.64538887955653,65.57925554161439,86.91236215902495,96.9158786928617,74.48920981373594,26.93905817174515,78.42649310872895,66.97210550296158,79.47295423023579,89.60154883837123
eus,67.61909778000158,63.03407485875706,65.8809223142042,61.46962838193494,74.9010032105321,67.4329230496768,67.50473910006984,75.34155110426298,78.43697879437693,71.27845296447995,74.40566811102003,73.45696325749451,68.49351337039978,67.87268500666542,64.66173380189663,78.43334251592098,79.45895460155442,80.32084663195029,63.12839815976579,57.45792222867093,72.99446376953604,91.53196028555016,39.38489949570282,68.66385911179172,60.125888050760224,80.85991678224687,74.07569323007745
jpn,47.29149658968214,49.76165254237288,50.3765025022216,44.71207495525845,61.0879634115618,50.65438767378022,52.9182879377432,65.45582948125322,67.10956004989559,59.75961861277111,61.45918725846118,59.117981884476414,51.50472156032125,54.8514327894499,64.19199321878256,66.05791512048094,68.42456386136962,68.99882412229128,50.87411125052279,45.89378990133488,60.230267992749006,72.59374743579224,91.55124653739612,60.91117917304747,49.46252889856393,70.04160887656033,61.85985510866849
hun,76.72161799173097,76.29766949152543,77.63902530283897,75.87746078534583,78.7148827865093,78.50172673337465,77.06275566197746,79.9216743708269,84.69214705181572,76.21365742295038,79.21887808876917,77.47108610648232,78.87212073073869,71.71989820088798,59.04603810902926,87.6310544311387,81.44701290903632,79.90928943389888,59.96654119615224,75.4884890694525,79.09068639459115,73.72610158365471,26.257191561900704,96.65007656967842,74.90845272448067,83.07905686546462,78.11641269048214
hin,78.22005108893161,73.86564265536724,71.82077545484309,69.84103589851564,83.96155113272998,79.14106083414505,77.6414247231368,74.711093990755,80.38935374006644,77.12012354797557,81.18632158332358,80.71637161571333,75.85385226370136,71.64608282745932,57.79221925936391,80.68415679538494,80.96667667367157,81.58911473206787,61.32162275198662,72.47049719481524,77.9466954093381,78.63707229014524,33.906882591093115,74.41615620214395,91.8864645032822,83.07905686546462,81.62003497376968
tel,68.11155294551392,68.89124293785311,64.75843038211497,61.59174649963154,71.38750541010187,67.46125918710706,69.12102165020453,71.65896250642014,72.28272295337005,68.84442355469012,70.74598899168521,69.9839963043012,68.82005118700908,64.04530280828936,62.82868596252671,72.63048727131306,77.43086827445879,76.46564757265244,59.4228356336261,63.25691623137938,69.48557150556073,67.36686633297776,42.661055472689824,75.19142419601837,71.74606388902951,93.75866851595008,70.8343742193355
bel,85.23556210992021,85.27542372881356,83.9249801225387,85.71849668386146,94.9006156211443,87.7074293810325,86.24164421829792,75.12583461736004,83.49100898400819,80.87356476196871,94.20306827497365,90.20309844747652,87.23854911305268,80.92148027366774,59.66235188161125,84.53598223979517,88.97561626471864,89.35830673609945,64.60895023002927,85.34532791642484,89.90152368820733,80.23713793386395,30.59343703388025,79.17304747320061,70.8297473801448,82.38557558945908,94.84761428928304
